D1y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
4,2,15,62,59,60,60,59,61,51,48,56,44,3
4,2,30,59,60,60,59,61,51,48,56,44,38,3
4,2,45,60,60,59,61,51,48,56,44,38,48,2
4,3,0,60,59,61,51,48,56,44,38,48,29,3
4,3,15,59,61,51,48,56,44,38,48,29,39,3
4,3,30,61,51,48,56,44,38,48,29,39,54,2
4,3,45,51,48,56,44,38,48,29,39,54,30,2
4,4,0,48,56,44,38,48,29,39,54,30,35,2
4,4,15,56,44,38,48,29,39,54,30,35,44,1
4,4,30,44,38,48,29,39,54,30,35,44,41,2
4,4,45,38,48,29,39,54,30,35,44,41,42,2
4,5,0,48,29,39,54,30,35,44,41,42,62,2
4,5,15,29,39,54,30,35,44,41,42,62,40,1
4,5,30,39,54,30,35,44,41,42,62,40,50,1
4,5,45,54,30,35,44,41,42,62,40,50,56,1
4,6,0,30,35,44,41,42,62,40,50,56,65,1
4,6,15,35,44,41,42,62,40,50,56,65,63,1
4,6,30,44,41,42,62,40,50,56,65,63,61,1
4,6,45,41,42,62,40,50,56,65,63,61,61,2
4,7,0,42,62,40,50,56,65,63,61,61,60,2
4,7,15,62,40,50,56,65,63,61,61,60,60,2
4,7,30,40,50,56,65,63,61,61,60,60,57,2
4,7,45,50,56,65,63,61,61,60,60,57,57,2
4,8,0,56,65,63,61,61,60,60,57,57,58,2
4,8,15,65,63,61,61,60,60,57,57,58,58,2
4,8,30,63,61,61,60,60,57,57,58,58,57,2
4,8,45,61,61,60,60,57,57,58,58,57,59,2
4,9,0,61,60,60,57,57,58,58,57,59,59,2
4,9,15,60,60,57,57,58,58,57,59,59,57,2
4,9,30,60,57,57,58,58,57,59,59,57,59,2
4,9,45,57,57,58,58,57,59,59,57,59,58,2
4,10,0,57,58,58,57,59,59,57,59,58,59,1
4,10,15,58,58,57,59,59,57,59,58,59,59,2
4,10,30,58,57,59,59,57,59,58,59,59,57,2
4,10,45,57,59,59,57,59,58,59,59,57,60,2
4,11,0,59,59,57,59,58,59,59,57,60,59,2
4,11,15,59,57,59,58,59,59,57,60,59,58,2
4,11,30,57,59,58,59,59,57,60,59,58,59,2
4,11,45,59,58,59,59,57,60,59,58,59,59,2
