D1y,Hour,Minute,v1r1(t-4),v1r2(t-4),v1r3(t-4),v1r4(t-4),v1r5(t-4),v1r1(t-3),v1r2(t-3),v1r3(t-3),v1r4(t-3),v1r5(t-3),v1r1(t-2),v1r2(t-2),v1r3(t-2),v1r4(t-2),v1r5(t-2),v1r1(t-1),v1r2(t-1),v1r3(t-1),v1r4(t-1),v1r5(t-1),v1r1(t),v1r2(t),v1r3(t),v1r4(t),v1r5(t),target
4,1,0,74,69,58,65,67,73,67,64,66,67,70,66,57,67,68,72,65,60,65,66,73,67,62,68,70,1
4,1,15,73,67,64,66,67,70,66,57,67,68,72,65,60,65,66,73,67,62,68,70,76,70,61,68,69,1
4,1,30,70,66,57,67,68,72,65,60,65,66,73,67,62,68,70,76,70,61,68,69,72,71,63,68,70,1
4,1,45,72,65,60,65,66,73,67,62,68,70,76,70,61,68,69,72,71,63,68,70,70,72,26,66,66,1
4,2,0,73,67,62,68,70,76,70,61,68,69,72,71,63,68,70,70,72,26,66,66,69,68,36,67,65,2
4,2,15,76,70,61,68,69,72,71,63,68,70,70,72,26,66,66,69,68,36,67,65,68,68,46,68,70,1
4,2,30,72,71,63,68,70,70,72,26,66,66,69,68,36,67,65,68,68,46,68,70,70,65,24,65,62,1
4,2,45,70,72,26,66,66,69,68,36,67,65,68,68,46,68,70,70,65,24,65,62,82,77,55,67,70,3
4,3,0,69,68,36,67,65,68,68,46,68,70,70,65,24,65,62,82,77,55,67,70,75,77,56,80,68,2
4,3,15,68,68,46,68,70,70,65,24,65,62,82,77,55,67,70,75,77,56,80,68,70,70,33,65,15,2
4,3,30,70,65,24,65,62,82,77,55,67,70,75,77,56,80,68,70,70,33,65,15,81,77,50,76,56,3
4,3,45,82,77,55,67,70,75,77,56,80,68,70,70,33,65,15,81,77,50,76,56,44,42,22,28,46,3
4,4,0,75,77,56,80,68,70,70,33,65,15,81,77,50,76,56,44,42,22,28,46,66,63,27,49,17,3
4,4,15,70,70,33,65,15,81,77,50,76,56,44,42,22,28,46,66,63,27,49,17,71,70,36,57,12,3
4,4,30,81,77,50,76,56,44,42,22,28,46,66,63,27,49,17,71,70,36,57,12,68,72,33,59,24,3
4,4,45,44,42,22,28,46,66,63,27,49,17,71,70,36,57,12,68,72,33,59,24,67,65,26,59,12,3
4,5,0,66,63,27,49,17,71,70,36,57,12,68,72,33,59,24,67,65,26,59,12,72,70,39,57,42,2
4,5,15,71,70,36,57,12,68,72,33,59,24,67,65,26,59,12,72,70,39,57,42,68,67,50,67,38,3
4,5,30,68,72,33,59,24,67,65,26,59,12,72,70,39,57,42,68,67,50,67,38,74,76,0,71,61,1
4,5,45,67,65,26,59,12,72,70,39,57,42,68,67,50,67,38,74,76,0,71,61,66,68,0,66,13,2
4,6,0,72,70,39,57,42,68,67,50,67,38,74,76,0,71,61,66,68,0,66,13,69,67,50,68,65,2
4,6,15,68,67,50,67,38,74,76,0,71,61,66,68,0,66,13,69,67,50,68,65,69,67,62,66,64,1
