41y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
2,0,45,58.2,65.3,69,69.1,71.9,69.3,69.3,68.9,69.8,70.3,1
2,0,50,65.3,69,69.1,71.9,69.3,69.3,68.9,69.8,70.3,69,2
2,0,55,69,69.1,71.9,69.3,69.3,68.9,69.8,70.3,69,70.2,1
2,1,0,69.1,71.9,69.3,69.3,68.9,69.8,70.3,69,70.2,68.6,1
2,1,5,71.9,69.3,69.3,68.9,69.8,70.3,69,70.2,68.6,71.6,1
2,1,10,69.3,69.3,68.9,69.8,70.3,69,70.2,68.6,71.6,67.9,1
2,1,15,69.3,68.9,69.8,70.3,69,70.2,68.6,71.6,67.9,67.7,1
2,1,20,68.9,69.8,70.3,69,70.2,68.6,71.6,67.9,67.7,63.4,1
2,1,25,69.8,70.3,69,70.2,68.6,71.6,67.9,67.7,63.4,68.6,1
2,1,30,70.3,69,70.2,68.6,71.6,67.9,67.7,63.4,68.6,68,1
2,1,35,69,70.2,68.6,71.6,67.9,67.7,63.4,68.6,68,67.5,1
2,1,40,70.2,68.6,71.6,67.9,67.7,63.4,68.6,68,67.5,67.2,1
2,1,45,68.6,71.6,67.9,67.7,63.4,68.6,68,67.5,67.2,68,1
2,1,50,71.6,67.9,67.7,63.4,68.6,68,67.5,67.2,68,68.7,1
2,1,55,67.9,67.7,63.4,68.6,68,67.5,67.2,68,68.7,68.5,1
2,2,0,67.7,63.4,68.6,68,67.5,67.2,68,68.7,68.5,73.3,1
2,2,5,63.4,68.6,68,67.5,67.2,68,68.7,68.5,73.3,72.8,1
2,2,10,68.6,68,67.5,67.2,68,68.7,68.5,73.3,72.8,72.7,1
2,2,15,68,67.5,67.2,68,68.7,68.5,73.3,72.8,72.7,70.2,1
2,2,20,67.5,67.2,68,68.7,68.5,73.3,72.8,72.7,70.2,70.7,1
2,2,25,67.2,68,68.7,68.5,73.3,72.8,72.7,70.2,70.7,68.1,1
2,2,30,68,68.7,68.5,73.3,72.8,72.7,70.2,70.7,68.1,68.3,1
2,2,35,68.7,68.5,73.3,72.8,72.7,70.2,70.7,68.1,68.3,68.2,1
2,2,40,68.5,73.3,72.8,72.7,70.2,70.7,68.1,68.3,68.2,70.6,1
2,2,45,73.3,72.8,72.7,70.2,70.7,68.1,68.3,68.2,70.6,73,1
2,2,50,72.8,72.7,70.2,70.7,68.1,68.3,68.2,70.6,73,68.8,1
2,2,55,72.7,70.2,70.7,68.1,68.3,68.2,70.6,73,68.8,68.9,1
2,3,0,70.2,70.7,68.1,68.3,68.2,70.6,73,68.8,68.9,72.1,1
2,3,5,70.7,68.1,68.3,68.2,70.6,73,68.8,68.9,72.1,70.3,1
2,3,10,68.1,68.3,68.2,70.6,73,68.8,68.9,72.1,70.3,69.1,1
2,3,15,68.3,68.2,70.6,73,68.8,68.9,72.1,70.3,69.1,72.7,1
2,3,20,68.2,70.6,73,68.8,68.9,72.1,70.3,69.1,72.7,67.8,1
2,3,25,70.6,73,68.8,68.9,72.1,70.3,69.1,72.7,67.8,70.8,1
2,3,30,73,68.8,68.9,72.1,70.3,69.1,72.7,67.8,70.8,68.6,1
2,3,35,68.8,68.9,72.1,70.3,69.1,72.7,67.8,70.8,68.6,70.3,1
2,3,40,68.9,72.1,70.3,69.1,72.7,67.8,70.8,68.6,70.3,69.8,1
2,3,45,72.1,70.3,69.1,72.7,67.8,70.8,68.6,70.3,69.8,70.1,1
2,3,50,70.3,69.1,72.7,67.8,70.8,68.6,70.3,69.8,70.1,70.3,1
2,3,55,69.1,72.7,67.8,70.8,68.6,70.3,69.8,70.1,70.3,70.3,1
2,4,0,72.7,67.8,70.8,68.6,70.3,69.8,70.1,70.3,70.3,70.3,1
2,4,5,67.8,70.8,68.6,70.3,69.8,70.1,70.3,70.3,70.3,71,1
2,4,10,70.8,68.6,70.3,69.8,70.1,70.3,70.3,70.3,71,72.1,1
2,4,15,68.6,70.3,69.8,70.1,70.3,70.3,70.3,71,72.1,72.5,1
